Name,10,10,20,30,40,50,60,70,80,90,100,200,300,400,500,600,700,800,900,1000,1500,2000,2500,3000,3500,4000,4500,5000
angular_script, 0,1,2,7,7,5,3,4,5,4,7,5,6,5,7,8,11,10,13,13,21,18,19,21,22,24,25,29
angular_total, 5,15,13,23,17,14,11,17,21,15,21,12,23,20,28,28,33,33,39,43,52,46,53,58,66,73,85,95
blazor_script, 0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
blazor_total, 3,4,4,5,5,6,5,5,6,4,5,6,15,19,18,19,21,23,24,26,37,52,66,79,77,79,95,63
react_script, 0,0,1,1,1,1,1,1,2,1,1,4,3,3,3,3,3,3,3,3,5,4,5,6,7,7,8,9
react_total, 3,38,25,26,13,25,27,20,22,16,19,18,23,18,17,17,30,28,30,36,49,42,50,58,66,75,98,115
svelte_script, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
svelte_total, 5,16,41,44,29,34,28,30,31,32,35,33,24,15,16,18,19,20,24,30,41,27,32,38,42,48,52,57
vue_script, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,3,2,2,3,2
vue_total, 4,23,22,20,16,16,11,17,12,21,21,10,11,15,18,18,19,21,17,19,26,29,31,35,74,72,76,54
vue3_script, 0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1
vue3_total, 4,25,22,16,21,20,19,19,21,27,20,19,13,10,14,17,21,21,27,23,22,27,29,34,44,55,59,67